index;value
837;292
837;293
838;293
838;294
839;296
839;297
839;298
840;299
840;301
841;302
841;303
842;305
842;305
843;306
843;307
844;307
844;307
844;306
845;306
845;305
846;304
846;303
847;303
847;301
848;301
848;299
848;298
849;297
849;295
850;294
850;293
851;292
851;291
852;290
852;289
852;288
854;288
854;287
855;287
855;286
856;286
856;286
857;286
857;287
858;288
858;289
858;290
859;291
859;292
860;294
860;295
861;296
861;297
862;299
862;300
862;301
863;302
863;303
864;303
864;303
865;303
865;303
866;302
866;301
866;301
867;300
867;299
868;298
868;297
869;296
869;294
870;294
870;292
871;291
871;290
871;289
872;288
872;287
873;286
873;285
874;285
874;284
875;284
875;284
875;284
876;284
876;284
877;285
877;286
878;287
878;288
879;289
879;291
879;292
880;293
880;295
881;296
881;298
882;299
882;300
883;301
883;301
884;301
884;302
884;301
885;301
885;300
886;299
886;299
887;298
887;297
888;296
888;295
888;294
889;293
889;291
890;290
890;289
891;288
891;287
892;286
892;285
892;284
893;284
893;283
894;283
894;283
896;283
896;283
897;283
897;283
898;284
898;285
898;287
899;288
899;289
900;290
900;292
901;293
901;295
902;296
902;297
902;299
903;300
903;300
904;301
904;301
905;301
905;301
906;300
906;299
906;299
907;298
907;297
908;296
908;295
909;294
909;293
910;292
910;291
911;289
911;289
911;287
912;286
912;286
913;285
913;284
914;283
914;284
915;283
915;283
915;282
916;282
916;283
917;284
917;285
918;286
918;287
919;288
919;289
919;291
920;293
920;294
921;295
921;297
922;298
922;299
923;300
923;300
924;301
924;301
924;301
925;300
925;300
926;299
926;298
927;297
927;297
928;295
928;294
928;293
929;292
929;291
930;290
930;289
931;288
931;287
932;285
932;285
932;284
933;283
933;282
934;282
934;282
935;282
935;282
936;282
936;282
937;283
937;284
937;285
939;286
939;288
940;289
940;290
941;292
941;293
942;294
942;295
942;297
943;298
943;298
944;299
944;299
945;299
945;299
946;298
946;298
946;297
947;296
947;295
948;294
948;293
949;292
949;291
950;290
950;289
951;288
951;287
951;285
952;284
952;283
953;283
953;282
954;281
954;281
955;280
955;280
955;280
956;280
956;281
957;281
957;282
958;283
958;284
959;285
959;287
959;288
960;289
960;291
961;292
961;294
962;295
962;296
963;297
963;298
964;298
964;298
964;298
965;298
965;297
966;297
966;296
967;295
967;294
968;293
968;292
968;291
969;290
969;290
970;288
970;287
971;286
971;285
972;284
972;283
972;282
973;281
973;281
974;281
974;281
975;280
975;280
976;280
976;281
977;282
977;283
977;284
978;285
978;286
979;288
979;289
980;291
980;292
982;294
982;295
982;296
983;297
983;298
984;298
984;299
985;299
985;299
986;299
986;298
986;297
987;297
987;296
988;295
988;294
989;293
989;292
990;290
990;289
991;288
991;287
991;286
992;285
992;284
993;283
993;283
994;282
994;282
995;281
995;281
995;281
996;282
996;282
997;282
997;283
998;284
998;286
999;287
999;289
999;290
1000;291
1000;293
1001;294
1001;296
1002;297
1002;299
1003;299
1003;300
1004;300
1004;301
1005;300
1005;300
1006;299
1006;298
1007;297
1007;296
1008;295
1008;294
1009;293
1009;292
1010;290
1010;289
1011;288
1011;287
1012;286
1012;286
1013;286
1013;286
1014;285
1014;286
1015;286
1015;286
1016;287
1016;288
1017;288
1017;290
1018;291
1018;292
1019;292
1019;294
1020;294
1020;295
1021;296
1021;297
1022;297
1022;297
1024;297
1024;297
1025;297
1025;297
1026;296
1026;295
1027;295
1027;294
1028;294
1028;294
1029;293
1029;292
1030;292
1030;292
1031;291
1031;290
1032;290
1032;290
1033;289
1033;289
1034;289
1034;290
1035;290
1035;290
1036;290
1036;291
1037;292
1037;293
1038;293
1038;295
1039;295
1039;296
1040;297
1040;298
1041;298
1041;299
1042;300
1042;300
1043;300
1043;300
1044;300
1044;300
1045;300
1045;299
1046;298
1046;298
1047;297
1047;297
1048;296
1048;295
1049;295
1049;294
1050;294
1050;293
1051;292
1051;293
1052;292
1052;291
1053;292
1053;292
1054;292
1054;292
1055;292
1055;292
1056;293
1056;294
1057;294
1057;295
1058;296
1058;297
1059;298
1059;299
1060;300
1060;301
1061;302
1061;302
1062;303
1062;304
1063;303
1063;303
1064;303
1064;302
1065;301
1065;300
1067;299
1067;298
1068;296
1068;295
1069;293
1069;292
1070;290
1070;288
1071;286
1071;285
1072;284
1072;282
1073;281
1073;280
1074;279
1074;279
1075;278
1075;278
1076;278
1076;278
1077;278
1077;279
1078;280
1078;281
1079;282
1079;284
1080;285
1080;287
1081;288
1081;289
1082;291
1082;292
1083;293
1083;293
1084;293
1084;294
1085;294
1085;293
1086;292
1086;291
1087;290
1087;289
1088;288
1088;286
1089;285
1089;284
1090;282
1090;281
1091;280
1091;279
1092;278
1092;277
1093;276
1093;275
1094;275
1094;275
1095;274
1095;275
1096;275
1096;275
1097;276
1097;278
1098;278
1098;280
1099;282
1099;283
1100;285
1100;286
1101;288
1101;289
1102;291
1102;292
1103;293
1103;294
1104;293
1104;293
1105;293
1105;292
1106;291
1106;291
1107;289
1107;289
1108;288
1108;286
1110;285
1110;284
1111;283
1111;281
1112;281
1112;280
1113;279
1113;278
1114;277
1114;277
1115;277
1115;277
1116;277
1116;277
1117;277
1117;279
1118;280
1118;281
1119;283
1119;285
1120;286
1120;288
1121;289
1121;291
1122;292
1122;294
1123;296
1123;296
1124;297
1124;297
1125;297
1125;297
1126;296
1126;295
1127;295
1127;294
1128;293
1128;292
1129;290
1129;289
1130;288
1130;287
1131;286
1131;285
1132;284
1132;283
1133;282
1133;282
1134;282
1134;281
1135;281
1135;281
1136;281
1136;283
1137;283
1137;285
1138;286
1138;288
1139;289
1139;291
1140;293
1140;294
1141;296
1141;298
1142;299
1142;301
1143;301
1143;302
1144;302
1144;302
1145;302
1145;301
1146;301
1146;300
1147;299
1147;298
1148;297
1148;296
1149;295
1149;294
1150;293
1150;292
1152;291
1152;290
1153;290
1153;289
1154;288
1154;288
1155;288
1155;288
1156;288
1156;288
1157;289
1157;290
1158;291
1158;293
1159;295
1159;296
1160;298
1160;300
1161;302
1161;304
1162;305
1162;307
1163;308
1163;309
1164;310
1164;310
1165;310
1165;310
1166;309
1166;309
1167;308
1167;307
1168;307
1168;305
1169;304
1169;304
1170;302
1170;301
1171;300
1171;299
1172;298
1172;297
1173;297
1173;296
1174;295
1174;295
1175;295
1175;295
1176;295
1176;296
1177;297
1177;299
1178;300
1178;301
1179;303
1179;304
1180;306
1180;308
1181;309
1181;311
1182;313
1182;314
1183;315
1183;315
1184;316
1184;315
1185;315
1185;315
1186;314
1186;313
1187;312
1187;312
1188;311
1188;310
1189;309
1189;308
1190;307
1190;307
1191;306
1191;306
1192;305
1192;305
1193;305
1193;305
1195;305
1195;305
1196;306
1196;306
1197;307
1197;308
1198;310
1198;311
1199;312
1199;314
1200;315
1200;317
1201;319
1201;320
1202;322
1202;323
1203;325
1203;326
1204;326
1204;326
1205;326
1205;326
1206;326
1206;325
1207;324
1207;323
1208;322
1208;321
1209;320
1209;319
1210;318
1210;317
1211;315
1211;314
1212;313
1212;312
1213;311
1213;310
1214;309
1214;309
1215;309
1215;309
1216;309
1216;310
1217;310
1217;312
1218;313
1218;315
1219;316
1219;317
1220;319
1220;320
1221;322
1221;323
1222;325
1222;326
1223;327
1223;327
1224;328
1224;328
1225;327
1225;327
1226;325
1226;325
1227;324
1227;323
1228;322
1228;321
1229;319
1229;318
1230;317
1230;316
1231;314
1231;313
1232;312
1232;311
1233;310
1233;310
1234;309
1234;309
1235;309
1235;308
1236;309
1236;310
1238;311
1238;312
1239;313
1239;315
1240;316
1240;318
1241;320
1241;321
1242;322
1242;324
1243;325
1243;326
1244;326
1244;326
1245;326
1245;326
1246;325
1246;324
1247;323
1247;322
1248;321
1248;320
1249;319
1249;317
1250;316
1250;315
1251;313
1251;312
1252;311
1252;310
1253;309
1253;308
1254;307
1254;307
1255;306
1255;306
1256;306
1256;306
1257;307
1257;308
1258;309
1258;310
1259;312
1259;314
1260;315
1260;316
1261;317
1261;319
1262;320
1262;322
1263;322
1263;322
1264;322
1264;322
1265;322
1265;321
1266;320
1266;319
1267;317
1267;316
1268;315
1268;313
1269;312
1269;310
1270;309
1270;307
1271;306
1271;304
1272;303
1272;302
1273;301
1273;300
1274;300
1274;299
1275;299
1275;299
1276;299
1276;300
1277;301
1277;303
1278;304
1278;306
1280;308
1280;310
1281;312
1281;314
1282;316
1282;318
1283;320
1283;322
1284;323
1284;325
1285;325
1285;326
1286;326
1286;326
1287;327
1287;327
1288;327
1288;327
1289;327
1289;327
1290;327
1290;326
1291;326
1291;326
1292;327
1292;327
1293;327
1293;327
1294;329
1294;329
1295;330
1295;332
1296;333
1296;335
1297;336
1297;339
1298;341
1298;344
1299;346
1299;350
1300;352
1300;354
1301;357
1301;359
1302;362
1302;364
1303;366
1303;367
1304;368
1304;369
1305;369
1305;369
1306;369
1306;368
1307;367
1307;366
1308;365
1308;364
1309;362
1309;361
1310;359
1310;358
1311;356
1311;354
1312;353
1312;352
1313;351
1313;349
1314;349
1314;348
1315;347
1315;347
1316;346
1316;346
1317;347
1317;347
1318;348
1318;349
1319;350
1319;351
1320;353
1320;354
1321;355
1321;356
1323;356
1323;357
1324;358
1324;358
