x;y;z
0.729;-0.046;-0.666
0.713;-0.027;-0.674
0.740;-0.057;-0.651
0.750;-0.054;-0.650
0.730;-0.044;-0.641
0.742;-0.048;-0.651
0.728;-0.035;-0.659
0.732;-0.037;-0.662
0.743;-0.049;-0.642
0.743;-0.043;-0.663
0.726;-0.035;-0.656
0.741;-0.054;-0.669
0.738;-0.037;-0.665
0.738;-0.046;-0.648
0.733;-0.042;-0.654
0.732;-0.053;-0.668
0.736;-0.043;-0.654
0.729;-0.035;-0.658
0.718;-0.035;-0.665
0.738;-0.046;-0.666
0.729;-0.044;-0.652
0.746;-0.052;-0.654
0.736;-0.050;-0.653
0.735;-0.049;-0.661
0.724;-0.037;-0.656
0.728;-0.047;-0.649
0.753;-0.052;-0.665
0.740;-0.045;-0.662
0.736;-0.040;-0.663
0.710;-0.034;-0.650
0.736;-0.052;-0.656
0.732;-0.041;-0.659
0.758;-0.058;-0.657
0.743;-0.038;-0.646
0.734;-0.039;-0.650
0.727;-0.036;-0.657
0.732;-0.043;-0.664
0.730;-0.036;-0.654
0.723;-0.034;-0.638
0.730;-0.051;-0.648
0.736;-0.045;-0.670
0.749;-0.043;-0.661
0.740;-0.039;-0.646
0.735;-0.043;-0.659
0.717;-0.041;-0.670
0.717;-0.042;-0.666
0.733;-0.028;-0.645
0.739;-0.043;-0.646
0.758;-0.064;-0.662
0.754;-0.058;-0.662
0.735;-0.060;-0.658
0.712;-0.026;-0.646
0.713;-0.026;-0.660
0.740;-0.053;-0.664
0.752;-0.058;-0.657
0.749;-0.060;-0.656
0.729;-0.040;-0.666
0.739;-0.043;-0.688
0.744;-0.048;-0.655
0.739;-0.052;-0.669
0.728;-0.052;-0.651
0.726;-0.044;-0.665
0.714;-0.022;-0.656
0.723;-0.022;-0.659
0.726;-0.029;-0.657
0.762;-0.060;-0.627
0.768;-0.064;-0.653
0.738;-0.046;-0.649
0.729;-0.050;-0.661
0.708;-0.023;-0.673
0.710;-0.039;-0.672
0.731;-0.042;-0.688
0.743;-0.053;-0.664
0.759;-0.052;-0.638
0.737;-0.045;-0.644
0.732;-0.048;-0.656
0.732;-0.053;-0.651
0.731;-0.051;-0.646
0.723;-0.038;-0.656
0.719;-0.036;-0.662
0.743;-0.046;-0.659
0.745;-0.042;-0.681
0.713;-0.035;-0.665
0.722;-0.059;-0.656
0.737;-0.041;-0.653
0.750;-0.044;-0.656
0.736;-0.048;-0.651
0.731;-0.060;-0.665
0.720;-0.038;-0.673
0.729;-0.042;-0.670
0.723;-0.030;-0.673
0.734;-0.045;-0.653
0.733;-0.048;-0.649
0.750;-0.059;-0.647
0.721;-0.031;-0.651
0.718;-0.033;-0.651
0.731;-0.030;-0.669
0.740;-0.040;-0.686
0.740;-0.058;-0.647
0.736;-0.053;-0.688
0.676;-0.051;-0.788
0.709;-0.027;-0.770
0.674;-0.018;-0.724
0.658;0.004;-0.664
0.631;0.001;-0.679
0.645;0.004;-0.711
0.628;-0.005;-0.766
0.615;0.004;-0.880
0.593;0.057;-0.952
0.472;0.114;-0.927
0.447;0.100;-0.868
0.415;0.113;-0.845
0.326;0.158;-0.956
0.265;0.187;-0.985
0.263;0.162;-0.883
0.305;0.148;-0.885
0.270;0.152;-0.874
0.309;0.111;-0.890
0.310;0.083;-0.972
0.276;0.112;-0.987
0.215;0.129;-0.971
0.132;0.146;-0.909
0.170;0.034;-1.091
0.118;-0.006;-1.162
-0.026;0.163;-1.046
-0.031;0.133;-0.910
-0.011;0.136;-0.940
-0.049;0.137;-0.999
-0.078;0.123;-1.006
-0.105;0.152;-1.010
-0.077;0.129;-0.953
0.010;0.081;-0.897
0.049;0.060;-0.995
0.060;0.039;-1.087
0.034;0.075;-1.052
0.059;0.061;-0.985
0.049;0.082;-0.962
0.047;0.070;-1.021
0.022;0.078;-1.025
0.012;0.086;-0.988
0.013;0.103;-0.973
0.012;0.103;-0.951
0.026;0.083;-0.970
0.046;0.064;-1.029
0.013;0.079;-1.075
-0.016;0.081;-0.986
0.023;0.078;-0.927
0.023;0.063;-0.972
0.033;0.048;-1.030
0.013;0.053;-1.053
0.018;0.055;-0.995
0.029;0.060;-0.989
0.004;0.072;-0.992
-0.001;0.063;-1.002
0.014;0.060;-1.007
0.007;0.064;-0.987
0.010;0.058;-0.993
-0.002;0.061;-0.999
0.001;0.055;-0.998
0.012;0.049;-0.998
-0.002;0.063;-1.015
-0.021;0.065;-1.020
-0.038;0.082;-0.995
-0.031;0.073;-0.985
-0.040;0.077;-0.988
-0.022;0.057;-1.017
-0.031;0.068;-1.021
-0.035;0.072;-1.000
-0.021;0.074;-0.989
-0.020;0.075;-0.997
-0.021;0.061;-1.012
-0.031;0.065;-1.000
-0.035;0.064;-0.979
-0.016;0.071;-0.979
-0.020;0.069;-1.016
-0.016;0.061;-1.006
-0.029;0.063;-1.001
-0.022;0.055;-1.002
-0.028;0.068;-1.016
-0.039;0.070;-1.003
