value,index
300,885
299,886
299,886
298,887
297,887
296,888
295,888
294,888
293,889
291,889
290,890
289,890
288,891
287,891
286,892
285,892
284,892
284,893
283,893
283,894
283,894
283,896
283,896
283,897
283,897
284,898
285,898
287,898
288,899
289,899
290,900
292,900
293,901
295,901
296,902
297,902
299,902
300,903
300,903
301,904
301,904
301,905
301,905
300,906
299,906
299,906
298,907
297,907
296,908
295,908
294,909
293,909
292,910
291,910
289,911
289,911
287,911
286,912
286,912
285,913
284,913
283,914
284,914
283,915
283,915
282,915
282,916
283,916
284,917
285,917
286,918
287,918
288,919
289,919
291,919
293,920
294,920
295,921
297,921
298,922
299,922
300,923
300,923
301,924
301,924
301,924
300,925
300,925
299,926
298,926
297,927
297,927
295,928
294,928
293,928
292,929
291,929
290,930
289,930
288,931
287,931
285,932
285,932
284,932
283,933
282,933
282,934
282,934
282,935
282,935
282,936
282,936
283,937
284,937
285,937
286,939
288,939
289,940
290,940
292,941
293,941
294,942
295,942
297,942
298,943
298,943
299,944
299,944
299,945
299,945
298,946
298,946
297,946
296,947
295,947
294,948
293,948
292,949
291,949
290,950
289,950
288,951
287,951
285,951
284,952
283,952
283,953
282,953
281,954
281,954
280,955
280,955
280,955
280,956
281,956
281,957
282,957
283,958
284,958
285,959
287,959
288,959
289,960
291,960
292,961
294,961
295,962
296,962
297,963
298,963
298,964
298,964
298,964
298,965
297,965
297,966
296,966
295,967
294,967
293,968
292,968
291,968
290,969
290,969
288,970
287,970
286,971
285,971
284,972
283,972
282,972
281,973
281,973
281,974
281,974
280,975
280,975
280,976
281,976
282,977
283,977
284,977
285,978
286,978
288,979
289,979
291,980
292,980
294,982
295,982
296,982
297,983
298,983
298,984
299,984
299,985
299,985
299,986
298,986
297,986
297,987
296,987
295,988
294,988
293,989
292,989
290,990
289,990
288,991
287,991
286,991
285,992
284,992
283,993
283,993
282,994
282,994
281,995
281,995
281,995
282,996
282,996
282,997
283,997
284,998
286,998
287,999
289,999
290,999
291,1000
293,1000
294,1001
296,1001
297,1002
299,1002
299,1003
300,1003
300,1004
301,1004
300,1005
300,1005
299,1006
298,1006
297,1007
296,1007
295,1008
294,1008
293,1009
292,1009
290,1010
289,1010
288,1011
287,1011
286,1012
286,1012
286,1013
286,1013
285,1014
286,1014
286,1015
286,1015
287,1016
288,1016
288,1017
290,1017
291,1018
292,1018
292,1019
294,1019
294,1020
295,1020
296,1021
297,1021
297,1022
297,1022
297,1024
297,1024
297,1025
297,1025
296,1026
295,1026
295,1027
294,1027
294,1028
294,1028
293,1029
292,1029
292,1030
292,1030
291,1031
290,1031
290,1032
290,1032
289,1033
289,1033
289,1034
290,1034
290,1035
290,1035
290,1036
291,1036
292,1037
293,1037
293,1038
295,1038
295,1039
296,1039
297,1040
298,1040
298,1041
299,1041
300,1042
300,1042
300,1043
300,1043
300,1044
300,1044
300,1045
299,1045
298,1046
298,1046
297,1047
297,1047
296,1048
295,1048
295,1049
294,1049
294,1050
293,1050
292,1051
293,1051
292,1052
291,1052
292,1053
292,1053
292,1054
292,1054
292,1055
292,1055
293,1056
294,1056
294,1057
295,1057
296,1058
297,1058
298,1059
299,1059
300,1060
301,1060
302,1061
302,1061
303,1062
304,1062
303,1063
303,1063
303,1064
302,1064
301,1065
300,1065
299,1067
298,1067
296,1068
295,1068
293,1069
292,1069
290,1070
288,1070
286,1071
285,1071
284,1072
282,1072
281,1073
280,1073
279,1074
279,1074
278,1075
278,1075
278,1076
278,1076
278,1077
279,1077
280,1078
281,1078
282,1079
284,1079
285,1080
287,1080
288,1081
289,1081
291,1082
292,1082
293,1083
293,1083
293,1084
294,1084
294,1085
293,1085
292,1086
291,1086
290,1087
289,1087
288,1088
286,1088
285,1089
284,1089
282,1090
281,1090
280,1091
279,1091
278,1092
277,1092
276,1093
275,1093
275,1094
275,1094
274,1095
275,1095
275,1096
275,1096
276,1097
278,1097
278,1098
280,1098
282,1099
283,1099
285,1100
286,1100
288,1101
289,1101
291,1102
292,1102
293,1103
294,1103
293,1104
293,1104
293,1105
292,1105
291,1106
291,1106
289,1107
289,1107
288,1108
286,1108
285,1110
284,1110
283,1111
281,1111
281,1112
280,1112
279,1113
278,1113
277,1114
277,1114
277,1115
277,1115
277,1116
277,1116
277,1117
279,1117
280,1118
281,1118
283,1119
285,1119
286,1120
288,1120
289,1121
291,1121
292,1122
294,1122
296,1123
296,1123
297,1124
297,1124
297,1125
297,1125
296,1126
295,1126
295,1127
294,1127
293,1128
292,1128
290,1129
289,1129
288,1130
287,1130
286,1131
285,1131
284,1132
283,1132
282,1133
282,1133
282,1134
281,1134
281,1135
281,1135
281,1136
283,1136
283,1137
285,1137
286,1138
288,1138
289,1139
291,1139
293,1140
294,1140
296,1141
298,1141
299,1142
301,1142
301,1143
302,1143
302,1144
302,1144
302,1145
301,1145
301,1146
300,1146
299,1147
298,1147
297,1148
296,1148
295,1149
294,1149
293,1150
292,1150
291,1152
290,1152
290,1153
289,1153
288,1154
288,1154
288,1155
288,1155
288,1156
288,1156
289,1157
290,1157
291,1158
293,1158
295,1159
296,1159
298,1160
300,1160
302,1161
304,1161
305,1162
307,1162
308,1163
309,1163
310,1164
310,1164
310,1165
310,1165
309,1166
309,1166
308,1167
307,1167
307,1168
305,1168
304,1169
304,1169
302,1170
301,1170
300,1171
299,1171
298,1172
297,1172
297,1173
296,1173
295,1174
295,1174
295,1175
295,1175
295,1176
296,1176
297,1177
299,1177
300,1178
301,1178
303,1179
304,1179
306,1180
308,1180
309,1181
311,1181
313,1182
314,1182
315,1183
315,1183
316,1184
315,1184
315,1185
315,1185
314,1186
313,1186
312,1187
312,1187
311,1188
310,1188
309,1189
308,1189
307,1190
307,1190
306,1191
306,1191
305,1192
305,1192
305,1193
305,1193
305,1195
305,1195
306,1196
306,1196
307,1197
308,1197
310,1198
311,1198
312,1199
314,1199
315,1200
317,1200
319,1201
320,1201
322,1202
323,1202
325,1203
326,1203
326,1204
326,1204
326,1205
326,1205
326,1206
325,1206
324,1207
323,1207
322,1208
321,1208
320,1209
319,1209
318,1210
317,1210
315,1211
314,1211
313,1212
312,1212
311,1213
310,1213
309,1214
309,1214
309,1215
309,1215
309,1216
310,1216
310,1217
312,1217
313,1218
315,1218
316,1219
317,1219
319,1220
320,1220
322,1221
323,1221
325,1222
326,1222
327,1223
327,1223
328,1224
328,1224
327,1225
327,1225
325,1226
325,1226
324,1227
323,1227
322,1228
321,1228
319,1229
318,1229
317,1230
316,1230
314,1231
313,1231
312,1232
311,1232
310,1233
310,1233
309,1234
309,1234
309,1235
308,1235
309,1236
310,1236
311,1238
312,1238
313,1239
315,1239
316,1240
318,1240
320,1241
321,1241
322,1242
324,1242
325,1243
326,1243
326,1244
326,1244
326,1245
326,1245
325,1246
324,1246
323,1247
322,1247
321,1248
320,1248
319,1249
317,1249
316,1250
315,1250
313,1251
312,1251
311,1252
310,1252
309,1253
308,1253
307,1254
307,1254
306,1255
306,1255
306,1256
306,1256
307,1257
308,1257
309,1258
310,1258
312,1259
314,1259
315,1260
316,1260
317,1261
319,1261
320,1262
322,1262
322,1263
322,1263
322,1264
322,1264
322,1265
321,1265
320,1266
319,1266
317,1267
316,1267
315,1268
313,1268
312,1269
310,1269
309,1270
307,1270
306,1271
304,1271
303,1272
302,1272
301,1273
300,1273
300,1274
299,1274
299,1275
299,1275
299,1276
300,1276
301,1277
303,1277
304,1278
306,1278
308,1280
310,1280
312,1281
314,1281
316,1282
318,1282
320,1283
322,1283
323,1284
325,1284
325,1285
326,1285
326,1286
326,1286
327,1287
327,1287
327,1288
327,1288
327,1289
327,1289
327,1290
326,1290
326,1291
326,1291
327,1292
327,1292
327,1293
327,1293
329,1294
329,1294
330,1295
332,1295
333,1296
335,1296
336,1297
339,1297
341,1298
344,1298
346,1299
350,1299
352,1300
354,1300
357,1301
359,1301
362,1302
364,1302
366,1303
367,1303
368,1304
369,1304
369,1305
369,1305
369,1306
368,1306
367,1307
366,1307
365,1308
364,1308
362,1309
361,1309
359,1310
358,1310
356,1311
354,1311
353,1312
352,1312
351,1313
349,1313
349,1314
348,1314
