t;emg
1273;750
1274;750
1275;750
1276;750
1277;750
1278;750
1279;750
1280;750
1281;749
1282;749
1283;749
1284;749
1285;749
1286;749
1287;749
1288;749
1289;749
1290;749
1291;749
1292;749
1293;749
1294;749
1295;750
1296;749
1297;750
1298;749
1299;750
1300;750
1301;749
1302;750
1303;749
1304;750
1305;750
1306;750
1307;749
1308;749
1309;749
1310;750
1311;750
1312;749
1313;749
1314;750
1315;750
1316;749
1317;749
1318;749
1319;750
1320;749
1321;749
1322;749
1323;749
1324;749
1325;749
1326;749
1327;749
1328;749
1329;749
1330;749
1331;749
1332;749
1333;749
1334;749
1335;749
1336;749
1337;749
1338;749
1339;749
1340;749
1341;749
1342;749
1343;749
1344;749
1345;749
1346;749
1347;749
1348;749
1349;749
1350;749
1351;749
1352;749
1353;749
1354;749
1355;749
1356;749
1357;749
1358;749
1359;749
1360;749
1361;749
1362;749
1363;749
1364;749
1365;749
1366;749
1367;749
1368;749
1369;749
1370;749
1371;749
1372;749
1373;749
1374;749
1375;749
1376;749
1377;749
1378;749
1379;749
1380;749
1381;749
1382;749
1383;749
1384;749
1385;749
1386;749
1387;749
1388;749
1389;749
1390;749
1391;749
1392;749
1393;749
1394;749
1395;749
1396;749
1397;749
1398;749
1399;749
1400;749
1401;749
1402;749
1403;749
1404;749
1405;749
1406;749
1407;749
1408;749
1409;749
1410;749
1411;749
1412;749
1413;749
1414;749
1415;749
1416;749
1417;749
1418;749
1419;749
1420;749
1421;749
1422;749
1423;749
1424;749
1425;749
1426;749
1427;749
1428;749
1429;749
1430;749
1431;749
1432;749
1433;749
1434;749
1435;749
1436;749
1437;749
1438;749
1439;749
1440;748
1441;749
1442;748
1443;748
1444;749
1445;748
1446;748
1447;748
1448;748
1449;748
1450;748
1451;748
1452;748
1453;748
1454;748
1455;748
1456;748
1457;748
1458;748
1459;749
1460;748
1461;748
1462;748
1463;748
1464;748
1465;748
1466;748
1467;748
1468;748
1469;748
1470;748
1471;748
1472;748
1473;748
1474;748
1475;748
1476;748
1477;748
1478;748
1479;748
1480;748
1481;748
1482;748
1483;748
1484;748
1485;748
1486;748
1487;748
1488;748
1489;748
1490;748
1491;748
1492;748
1493;748
1494;748
1495;748
1496;748
1497;748
1498;748
1499;748
1500;748
1501;748
1502;748
1503;748
1504;748
1505;748
1506;748
1507;748
1508;748
1509;748
1510;748
1511;748
1512;748
1513;748
1514;748
1515;747
1516;748
1517;748
1518;748
1519;748
1520;748
1521;748
1522;748
1523;748
1524;748
1525;748
1526;748
1527;748
1528;748
1529;748
1530;748
1531;748
1532;748
1533;748
1534;748
1535;748
1536;748
1537;748
1538;748
1539;748
1540;748
1541;748
1542;748
1543;748
1544;748
1545;748
1546;748
1547;748
1548;748
1549;748
1550;748
1551;748
1552;747
1553;747
1554;747
1555;747
1556;747
1557;747
1558;747
1559;747
1560;747
1561;747
1562;747
1563;747
1564;747
1565;747
1566;747
1567;747
1568;747
1569;747
1570;747
1571;747
1572;747
1573;747
1574;747
1575;747
1576;747
1577;747
1578;747
